Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Larry Fitzgerald*,ARI,33,WR,16,16,150,107,71.3%,1023,9.6,6,60,33,6.8,6.7,63.9,2,FitzLa00
2,Antonio Brown*+,PIT,28,WR,15,15,154,106,68.8%,1284,12.1,12,64,51,8.3,7.1,85.6,0,BrowAn04
3,Odell Beckham Jr.*,NYG,24,WR,16,16,169,101,59.8%,1367,13.5,10,66,75,8.1,6.3,85.4,3,BeckOd00
4,Julian Edelman,NWE,30,WR,16,13,159,98,61.6%,1106,11.3,3,56,77,7.0,6.1,69.1,3,EdelJu00
5,Jordy Nelson,GNB,31,WR,16,16,152,97,63.8%,1257,13.0,14,62,60,8.3,6.1,78.6,1,NelsJo00
6,Mike Evans*,TAM,23,WR,16,16,173,96,55.5%,1321,13.8,12,82,45,7.6,6.0,82.6,0,EvanMi00
7,Doug Baldwin*,SEA,28,WR,16,15,125,94,75.2%,1128,12.0,7,51,59,9.0,5.9,70.5,1,BaldDo00
8,Jarvis Landry*,MIA,24,WR,16,16,131,94,71.8%,1136,12.1,4,53,71,8.7,5.9,71.0,2,LandJa00
9,Michael Thomas,NOR,23,WR,15,12,121,92,76.0%,1137,12.4,9,62,46,9.4,6.1,75.8,2,ThomMi05
10,T.Y. Hilton*,IND,27,WR,16,16,155,91,58.7%,1448,15.9,6,66,63,9.3,5.7,90.5,0,HiltT.00
11,Golden Tate,DET,28,WR,16,16,135,91,67.4%,1077,11.8,4,47,67,8.0,5.7,67.3,2,TateGo00
12,Demaryius Thomas*,DEN,29,WR,16,16,144,90,62.5%,1083,12.0,5,50,55,7.5,5.6,67.7,2,ThomDe03
13,Michael Crabtree,OAK,29,WR,16,16,145,89,61.4%,1003,11.3,8,56,56,6.9,5.6,62.7,2,CrabMi00
14,Dennis Pitta,BAL,31,TE,16,12,121,86,71.1%,729,8.5,2,37,30,6.0,5.4,45.6,1,PittDe00
15,Travis Kelce*+,KAN,27,TE,16,15,117,85,72.6%,1125,13.2,4,55,80,9.6,5.3,70.3,0,KelcTr00
16,Stefon Diggs,MIN,23,WR,13,11,112,84,75.0%,903,10.8,3,48,46,8.1,6.5,69.5,0,DiggSt00
17,Amari Cooper*,OAK,22,WR,16,14,132,83,62.9%,1153,13.9,5,49,64,8.7,5.2,72.1,2,CoopAm00
18,Julio Jones*+,ATL,27,WR,14,14,129,83,64.3%,1409,17.0,6,64,75,10.9,5.9,100.6,0,JoneJu02
19,Kyle Rudolph,MIN,27,TE,16,16,132,83,62.9%,840,10.1,7,50,44,6.4,5.2,52.5,0,RudoKy00
20,David Johnson*+,ARI,25,RB,16,16,120,80,66.7%,879,11.0,4,42,58,7.3,5.0,54.9,5,JohnDa08
21,Greg Olsen*,CAR,31,TE,16,16,129,80,62.0%,1073,13.4,3,54,78,8.3,5.0,67.1,0,OlseGr00
22,Pierre Garcon,WAS,30,WR,16,16,114,79,69.3%,1041,13.2,3,53,70,9.1,4.9,65.1,0,GarcPi00
23,Emmanuel Sanders*,DEN,29,WR,16,16,137,79,57.7%,1032,13.1,5,50,64,7.5,4.9,64.5,1,SandEm00
24,Brandin Cooks,NOR,23,WR,16,12,117,78,66.7%,1173,15.0,8,46,98,10.0,4.9,73.3,1,CookBr00
25,Zach Ertz,PHI,26,TE,14,12,106,78,73.6%,816,10.5,4,42,30,7.7,5.6,58.3,0,ErtzZa00
26,DeAndre Hopkins,HOU,24,WR,16,16,151,78,51.7%,954,12.2,4,57,51,6.3,4.9,59.6,0,HopkDe00
27,Terrelle Pryor,CLE,27,WR,16,15,140,77,55.0%,1007,13.1,4,50,54,7.2,4.8,62.9,1,PryoTe00
28,Davante Adams,GNB,24,WR,16,15,121,75,62.0%,997,13.3,12,46,66,8.2,4.7,62.3,2,AdamDa01
29,Cole Beasley,DAL,27,WR,16,6,98,75,76.5%,833,11.1,5,51,47,8.5,4.7,52.1,0,BeasCo00
30,Le'Veon Bell*,PIT,24,RB,12,12,94,75,79.8%,616,8.2,2,32,32,6.6,6.3,51.3,4,BellLe00
31,Jordan Matthews,PHI,24,WR,14,13,117,73,62.4%,804,11.0,3,38,54,6.9,5.2,57.4,1,MattJo00
32,Allen Robinson,JAX,23,WR,16,16,151,73,48.3%,883,12.1,6,51,42,5.8,4.6,55.2,1,RobiAl02
33,Willie Snead,NOR,24,WR,15,4,104,72,69.2%,895,12.4,4,51,49,8.6,4.8,59.7,2,SneaWi00
34,Mike Wallace,BAL,30,WR,16,16,116,72,62.1%,1017,14.1,4,43,95,8.8,4.5,63.6,1,WallMi00
35,Steve Smith Sr.,BAL,37,WR,14,14,101,70,69.3%,799,11.4,5,39,52,7.9,5.0,57.1,0,SmitSt01
36,Adam Thielen,MIN,26,WR,16,10,92,69,75.0%,967,14.0,5,44,71,10.5,4.3,60.4,2,ThieAd00
37,Tyrell Williams,SDG,24,WR,16,12,119,69,58.0%,1059,15.3,7,48,51,8.9,4.3,66.2,0,WillTy00
38,Jason Witten,DAL,34,TE,16,16,95,69,72.6%,673,9.8,3,34,35,7.1,4.3,42.1,1,WittJa00
39,Kenny Britt,LAR,28,WR,15,15,111,68,61.3%,1002,14.7,5,47,66,9.0,4.5,66.8,2,BritKe00
40,Anquan Boldin,DET,36,WR,16,16,95,67,70.5%,584,8.7,8,41,35,6.1,4.2,36.5,0,BoldAn00
41,Jamison Crowder,WAS,23,wr,16,9,99,67,67.7%,847,12.6,7,34,55,8.6,4.2,52.9,2,CrowJa00
42,A.J. Green*,CIN,28,WR,10,10,100,66,66.0%,964,14.6,4,42,54,9.6,6.6,96.4,0,GreeA.00
43,Cameron Meredith,CHI,24,WR,14,10,97,66,68.0%,888,13.5,4,44,50,9.2,4.7,63.4,3,MereCa00
44,Jordan Reed*,WAS,26,TE,12,8,89,66,74.2%,686,10.4,6,41,33,7.7,5.5,57.2,1,ReedJo02
45,Jimmy Graham*,SEA,30,TE,16,15,95,65,68.4%,923,14.2,6,45,42,9.7,4.1,57.7,2,GrahJi00
