Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional,Year,G19,GS19,Tgt19,Rec19,Yds19,TD19,G18,GS18,Tgt18,Rec18,Yds18,TD18
1,Stefon Diggs*+,BUF,27,WR,16,15,166,127,1535,8,73.0,1071,8.4,464,3.7,10.1,5,25.4,8,4.8,2,115.4,DiggSt00,2020,15.0,15.0,94.0,63.0,1130.0,6.0,15.0,14.0,149.0,102.0,1021.0,9.0
2,Davante Adams*+,GNB,28,WR,14,14,149,115,1374,18,73.0,777,6.8,597,5.2,8.9,2,57.5,1,0.7,3,136.0,AdamDa01,2020,12.0,12.0,127.0,83.0,997.0,5.0,15.0,15.0,169.0,111.0,1386.0,13.0
3,DeAndre Hopkins*,ARI,28,WR,16,16,160,115,1407,6,75.0,873,7.6,534,4.6,8.9,15,7.7,2,1.3,2,105.9,HopkDe00,2020,15.0,15.0,150.0,104.0,1165.0,7.0,16.0,16.0,163.0,115.0,1572.0,11.0
4,Darren Waller*,LVR,28,TE,16,15,145,107,1196,9,69.0,624,5.8,572,5.3,7.8,7,15.3,4,2.8,3,110.0,WallDa01,2020,16.0,16.0,117.0,90.0,1145.0,3.0,4.0,0.0,6.0,6.0,75.0,0.0
5,Travis Kelce*+,KAN,31,TE,15,15,145,105,1416,11,79.0,829,7.9,587,5.6,8.5,10,10.5,2,1.4,3,119.8,KelcTr00,2020,16.0,16.0,136.0,97.0,1229.0,5.0,16.0,16.0,150.0,103.0,1336.0,10.0
6,Allen Robinson,CHI,27,WR,16,16,151,102,1250,6,68.0,931,9.1,319,3.1,9.6,5,20.4,3,2.0,5,92.3,RobiAl02,2020,16.0,15.0,154.0,98.0,1147.0,7.0,13.0,12.0,94.0,55.0,754.0,4.0
7,Keenan Allen*,LAC,28,WR,14,13,147,100,992,8,61.0,555,5.6,437,4.4,7.2,2,50.0,3,2.0,5,90.9,AlleKe00,2020,16.0,16.0,149.0,104.0,1199.0,6.0,16.0,14.0,136.0,97.0,1196.0,6.0
8,Tyler Lockett,SEA,28,WR,16,16,132,100,1054,10,57.0,727,7.3,327,3.3,9.7,2,50.0,8,6.1,1,120.6,LockTy00,2020,16.0,16.0,110.0,82.0,1057.0,8.0,16.0,14.0,70.0,57.0,965.0,10.0
9,JuJu Smith-Schuster,PIT,24,WR,16,14,128,97,831,9,48.0,422,4.4,409,4.2,5.5,4,24.3,3,2.3,5,99.4,SmitJu00,2020,12.0,12.0,70.0,42.0,552.0,3.0,16.0,13.0,166.0,111.0,1426.0,7.0
10,Robby Anderson,CAR,27,WR,16,16,136,95,1096,3,49.0,599,6.3,497,5.2,9.7,3,31.7,6,4.4,2,95.1,AndeRo04,2020,16.0,15.0,96.0,52.0,779.0,5.0,14.0,9.0,94.0,50.0,752.0,6.0
11,Amari Cooper,DAL,26,WR,16,15,130,92,1114,5,54.0,701,7.6,413,4.5,8.8,5,18.4,3,2.3,4,96.8,CoopAm00,2020,16.0,16.0,119.0,79.0,1189.0,8.0,15.0,15.0,107.0,75.0,1005.0,7.0
12,Cooper Kupp,LAR,27,WR,15,12,124,92,974,3,45.0,449,4.9,525,5.7,6.3,12,7.7,6,4.8,3,94.6,KuppCo00,2020,16.0,14.0,134.0,94.0,1161.0,10.0,8.0,8.0,55.0,40.0,566.0,6.0
13,Calvin Ridley,ATL,26,WR,15,15,143,90,1374,9,65.0,1099,12.2,275,3.1,14.3,3,30.0,6,4.2,5,101.0,RidlCa00,2020,13.0,10.0,93.0,63.0,866.0,7.0,16.0,5.0,92.0,64.0,821.0,10.0
14,Robert Woods,LAR,28,WR,16,16,129,90,936,6,46.0,442,4.9,494,5.5,7.0,2,45.0,4,3.1,5,89.8,WoodRo02,2020,15.0,15.0,139.0,90.0,1134.0,2.0,16.0,16.0,130.0,86.0,1219.0,6.0
15,Justin Jefferson*,MIN,21,WR,16,14,125,88,1400,7,58.0,947,10.8,453,5.1,11.4,9,9.8,2,1.6,4,112.7,JeffJu00,2020,,,,,,,,,,,,
16,Diontae Johnson,PIT,24,WR,15,13,144,88,923,7,45.0,529,6.0,394,4.5,7.9,5,17.6,13,9.0,2,90.1,JohnDi01,2020,16.0,12.0,92.0,59.0,680.0,5.0,,,,,,
17,Tyreek Hill*+,KAN,26,WR,15,15,135,87,1276,15,57.0,842,9.7,434,5.0,12.9,8,10.9,5,3.7,1,129.1,HillTy00,2020,12.0,12.0,89.0,58.0,860.0,7.0,16.0,16.0,137.0,87.0,1479.0,12.0
18,Terry McLaurin,WAS,25,WR,15,15,134,87,1118,4,51.0,640,7.4,478,5.5,9.7,9,9.7,3,2.2,3,91.6,McLaTe00,2020,14.0,14.0,93.0,58.0,919.0,7.0,,,,,,
19,Alvin Kamara*,NOR,25,RB,15,10,107,83,756,5,35.0,25,0.3,731,8.8,0.6,16,5.2,9,8.4,1,107.8,KamaAl00,2020,14.0,9.0,97.0,81.0,533.0,1.0,15.0,13.0,105.0,81.0,709.0,4.0
20,D.K. Metcalf*,SEA,23,WR,16,16,129,83,1303,10,63.0,940,11.3,363,4.4,13.7,8,10.4,8,6.2,4,110.7,MetcDK00,2020,16.0,15.0,100.0,58.0,900.0,7.0,,,,,,
21,Cole Beasley,BUF,31,WR,15,10,107,82,967,4,53.0,612,7.5,355,4.3,7.8,1,82.0,2,1.9,2,108.3,BeasCo00,2020,15.0,10.0,106.0,67.0,778.0,6.0,16.0,4.0,87.0,65.0,672.0,3.0
