Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,-9999
Myles Adams,DT,2021,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,AdamMy00
Paulson Adebo,CB,2021,0,0,1,6,17,0,0,0,0,0,0,0,0,0,0,0,55,3,,AdebPa00
Landen Akers,WR,2021,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,AkerLa00
Matt Ammendola,K,2021,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,,,,AmmeMa00
Jack Anderson,G,2021,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,AndeJa01
Zayne Anderson,DB,2021,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,,,AndeZa02
Daniel Archibong,,2021,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,ArchDa01
Tutu Atwell,WR,2021,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,,AtweTu00
Kayode Awosika,T,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,AwosKa00
David Bada,DE,2021,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,BadaDa00
Kawaan Baker,WR,2021,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,BakeKa00
Michael Bandy,WR,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,BandMi00
Aaron Banks,G,2021,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,,,,BankAa00
Eric Banks,DE,2021,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,BankEr00
Christian Barmore,DL,2021,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,23,,1.5,BarmCh00
Derrick Barnes,DE,2021,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,42,,2.0,BarnDe02
Jackson Barton,OL,2021,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,BartJa00
Boogie Basham,DL,2021,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,11,,2.5,BashCa00
Rashod Bateman,WR,2021,0,0,0,4,12,0,0,0,0,0,0,0,0,46,515,1,,,,BateRa00
John Bates,TE,2021,0,0,0,2,17,0,0,0,0,0,0,0,0,20,249,1,2,,,BateJo00
Tavante Beckett,LB,2021,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,BeckTa00
Eno Benjamin,RB,2021,0,0,0,1,9,0,0,0,0,0,34,118,1,6,42,0,,,,BenjEn00
Kurt Benkert,QB,2021,0,0,0,0,1,0,0,0,0,0,2,-1,0,0,0,0,,,,BenkKu01
Trinity Benson,WR,2021,0,0,0,1,8,0,0,0,0,0,0,0,0,10,103,0,,,,BensTr00
Tarik Black,WR,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,0,,,,BlacTa00
Chris Blewitt,K,2021,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,BlewCh00
Quinton Bohanna,DT,2021,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,3,,,BohaQu00
Curtis Bolton,LB,2021,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,,,BoltCu00
Nick Bolton,LB,2021,0,0,1,6,16,0,0,0,0,0,0,0,0,0,0,0,70,,,BoltNi00
Ian Book,QB,2021,0,0,0,0,1,12,20,135,0,2,3,6,0,0,0,0,,,,BookIa00
Dicaprio Bootle,CB,2021,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,,,BootDi00
Tuf Borland,LB,2021,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,BorlTu00
Larry Borom,OL,2021,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,,,,BoroLa00
Nick Bowers,TE,2021,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,BoweNi00
William Bradley-King,OLB,2021,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,0.5,BradWi00
Blake Brandel,OT,2021,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,,,,BranBl00
Brady Breeze,S,2021,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,,,BreeBr00
Gary Brightwell,RB,2021,0,0,0,0,13,0,0,0,0,0,1,4,0,1,6,0,2,,,BrigGa00
K.J. Britt,LB,2021,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,7,,,BritKJ00
Josiah Bronson,,2021,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,8,,,BronJo01
Bobby Brown,DT,2021,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,,,,BrowBo04
Deonte Brown,OL,2021,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,BrowDe06
Dyami Brown,WR,2021,0,0,0,1,15,0,0,0,0,0,1,-4,0,12,165,0,1,,,BrowDy00
Spencer Brown,T,2021,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0,1,,,BrowSp00
Spencer Brown,RB,2021,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,BrowSp01
Tre Brown,CB,2021,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,9,,,BrowTr03
Baron Browning,LB,2021,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,32,,,BrowBa01
Ian Bunting,TE,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,BuntIa00
Matt Bushman,TE,2021,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,BushMa00
Camryn Bynum,CB,2021,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,20,1,1.0,BynuCa00
Yodny Cajuste,OL,2021,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,1,,,CajuYo00
Jalen Camp,WR,2021,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,CampJa03
Tyson Campbell,DB,2021,0,0,1,5,15,0,0,0,0,0,0,0,0,0,0,0,49,2,,CampTy01
Jackson Carman,OT,2021,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,,,,CarmJa00
Michael Carter,S,2021,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,45,,1.0,CartMi02
Michael Carter,RB,2021,0,0,1,6,14,0,0,0,0,0,147,639,4,36,325,0,,,,CartMi03
Tory Carter,FB,2021,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,,,CartTo01
Andre Chachere,CB,2021,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,13,,,ChacAn00
Ja'Marr Chase,WR,2021,0,1,1,13,17,0,0,0,0,0,7,21,0,81,1455,13,2,,,ChasJa00
Camaron Cheeseman,LS,2021,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,,,,CheeCa00
Brady Christensen,T,2021,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,1,,,ChriBr00
Andre Cisco,DB,2021,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,19,,,CiscAn00
Ben Cleveland,G,2021,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,,,,ClevBe00
Nico Collins,WR,2021,0,0,0,3,14,0,0,0,0,0,0,0,0,33,446,1,1,,,CollNi00
Zaven Collins,LB,2021,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,13,,,CollZa00
Jonathon Cooper,DE,2021,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,22,,2.5,CoopJo02
