Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,1,JAX,Trevor Lawrence,QB,21,2021,0,0,1,7,7,17,359,602,3641,12,17,73,334,2,0,0,0,2,,,Clemson,College Stats,LawrTr00
1,2,NYJ,Zach Wilson,QB,22,2021,0,0,1,5,5,13,213,383,2334,9,11,29,185,4,0,0,0,,,,BYU,College Stats,WilsZa00
1,3,SFO,Trey Lance,QB,21,2021,0,0,0,3,3,6,41,71,603,5,2,38,168,1,0,0,0,,,,North Dakota St.,College Stats,LancTr00
1,4,ATL,Kyle Pitts,TE,20,2021,0,1,1,8,8,17,0,0,0,0,0,0,0,0,68,1026,1,3,,,Florida,College Stats,PittKy00
1,5,CIN,Ja'Marr Chase,WR,21,2021,0,1,1,13,13,17,0,0,0,0,0,7,21,0,81,1455,13,2,,,LSU,College Stats,ChasJa00
1,6,MIA,Jaylen Waddle,WR,22,2021,0,0,1,7,7,16,0,0,0,0,0,2,3,1,104,1015,6,3,,,Alabama,College Stats,WaddJa00
1,7,DET,Penei Sewell,OL,20,2021,0,0,1,7,7,16,0,0,0,0,0,0,0,0,0,0,0,,,,Oregon,College Stats,SewePe00
1,8,CAR,Jaycee Horn,DB,21,2021,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,1,,South Carolina,College Stats,HornJa00
1,9,DEN,Patrick Surtain II,DB,21,2021,0,0,1,7,7,16,0,0,0,0,0,0,0,0,0,0,0,45,4,,Alabama,College Stats,SurtPa01
1,10,PHI,DeVonta Smith,WR,22,2021,0,0,1,10,10,17,0,0,0,0,0,0,0,0,64,916,5,1,,,Alabama,College Stats,SmitDe07
1,11,CHI,Justin Fields,QB,22,2021,0,0,0,6,6,12,159,270,1870,7,10,72,420,2,0,0,0,,,,Ohio St.,College Stats,FielJu00
1,12,DAL,Micah Parsons,LB,22,2021,1,1,1,18,18,16,0,0,0,0,0,0,0,0,0,0,0,64,,13.0,Penn St.,College Stats,ParsMi00
1,13,LAC,Rashawn Slater,OL,22,2021,0,1,1,14,14,16,0,0,0,0,0,0,0,0,0,0,0,,,,Northwestern,College Stats,SlatRa00
1,14,NYJ,Alijah Vera-Tucker,OL,22,2021,0,0,1,5,5,16,0,0,0,0,0,0,0,0,0,0,0,,,,USC,College Stats,VeraAl00
1,15,NWE,Mac Jones,QB,23,2021,0,1,1,14,14,17,352,521,3801,22,13,44,129,0,0,0,0,1,,,Alabama,College Stats,JoneMa05
1,16,ARI,Zaven Collins,LB,22,2021,0,0,0,3,3,17,0,0,0,0,0,0,0,0,0,0,0,13,,,Tulsa,College Stats,CollZa00
1,17,LVR,Alex Leatherwood,OL,22,2021,0,0,1,8,8,17,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats,LeatAl00
1,18,MIA,Jaelan Phillips,DL,22,2021,0,0,0,5,5,17,0,0,0,0,0,0,0,0,0,0,0,23,,8.5,Miami (FL),College Stats,PhilJa02
1,19,WAS,Jamin Davis,LB,22,2021,0,0,0,4,4,16,0,0,0,0,0,0,0,0,0,0,0,48,,1.0,Kentucky,College Stats,DaviJa11
1,20,NYG,Kadarius Toney,WR,22,2021,0,0,0,3,3,10,1,3,19,0,0,3,6,0,39,420,0,,,,Florida,College Stats,ToneKa00
1,21,IND,Kwity Paye,DL,22,2021,0,0,1,7,7,15,0,0,0,0,0,0,0,0,0,0,0,16,,4.0,Michigan,College Stats,PayeKw00
1,22,TEN,Caleb Farley,DB,22,2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,,,Virginia Tech,College Stats,FarlCa00
1,23,MIN,Christian Darrisaw,OL,22,2021,0,0,0,5,5,12,0,0,0,0,0,0,0,0,0,0,0,,,,Virginia Tech,College Stats,DarrCh00
1,24,PIT,Najee Harris,RB,23,2021,0,1,1,10,10,17,0,0,0,0,0,307,1200,7,74,467,3,2,,,Alabama,College Stats,HarrNa00
1,25,JAX,Travis Etienne,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Clemson,College Stats,EtieTr00
1,26,CLE,Greg Newsome II,DB,21,2021,0,0,1,3,3,12,0,0,0,0,0,0,0,0,0,0,0,33,,,Northwestern,College Stats,NewsGr00
1,27,BAL,Rashod Bateman,WR,21,2021,0,0,0,4,4,12,0,0,0,0,0,0,0,0,46,515,1,,,,Minnesota,College Stats,BateRa00
1,28,NOR,Payton Turner,DE,23,2021,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,9,,1.0,Houston,College Stats,TurnPa02
1,29,GNB,Eric Stokes,DB,22,2021,0,0,1,4,4,16,0,0,0,0,0,0,0,0,0,0,0,43,1,,Georgia,College Stats,StokEr00
1,30,BUF,Gregory Rousseau,DL,21,2021,0,0,1,10,10,17,0,0,0,0,0,0,0,0,0,0,0,42,1,4.0,Miami (FL),College Stats,RousGr00
1,31,BAL,Odafe Oweh,DE,22,2021,0,0,0,3,3,15,0,0,0,0,0,0,0,0,0,0,0,23,,5.0,Penn St.,College Stats,OwehJa00
1,32,TAM,Joe Tryon-Shoyinka,OLB,22,2021,0,0,0,4,4,17,0,0,0,0,0,0,0,0,0,0,0,21,,4.0,Washington,College Stats,TryoJo00
2,33,JAX,Tyson Campbell,DB,21,2021,0,0,1,5,5,15,0,0,0,0,0,0,0,0,0,0,0,49,2,,Georgia,College Stats,CampTy01
2,34,NYJ,Elijah Moore,WR,21,2021,0,0,0,4,4,11,0,0,0,0,0,5,54,1,43,538,5,3,,,Mississippi,College Stats,MoorEl00
2,35,DEN,Javonte Williams,RB,21,2021,0,0,0,8,8,17,0,0,0,0,0,203,903,4,43,316,3,1,,,North Carolina,College Stats,WillJa10
2,36,MIA,Jevon Holland,S,21,2021,0,0,1,6,6,16,0,0,0,0,0,0,0,0,0,0,0,48,2,2.5,Oregon,College Stats,HollJe02
2,37,PHI,Landon Dickerson,OL,22,2021,0,0,1,6,6,14,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats,DickLa00
