Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional
1,Michael Thomas*+,NOR,25,WR,16,16,147,125,1405,9,74,891,7.1,514,4.1,7.7,6,20.8,3,2.0,1,124.1,ThomMi05
2,Zach Ertz*,PHI,28,TE,16,16,156,116,1163,8,66,810,7.0,353,3.0,7.2,3,38.7,5,3.2,5,98.9,ErtzZa00
3,DeAndre Hopkins*+,HOU,26,WR,16,16,163,115,1572,11,81,1185,10.3,387,3.4,11.5,5,23.0,2,1.2,3,115.9,HopkDe00
4,Julio Jones*,ATL,29,WR,16,16,170,113,1677,8,80,1229,10.9,448,4.0,14.0,3,37.7,9,5.3,3,106.9,JoneJu02
5,Adam Thielen*,MIN,28,WR,16,16,153,113,1373,9,74,957,8.5,416,3.7,9.4,3,37.7,3,2.0,2,115.2,ThieAd00
6,Davante Adams*,GNB,26,WR,15,15,169,111,1386,13,64,911,8.2,475,4.3,11.3,4,27.8,5,3.0,0,116.6,AdamDa01
7,JuJu Smith-Schuster*,PIT,22,WR,16,13,166,111,1426,7,67,778,7.0,648,5.8,8.8,7,15.9,6,3.6,4,97.6,SmitJu00
8,Christian McCaffrey,CAR,22,RB,16,16,124,107,867,6,41,12,0.1,855,8.0,0.7,7,15.3,1,0.8,0,111.9,McCaCh01
9,Antonio Brown*,PIT,30,WR,15,15,168,104,1297,15,63,812,7.8,485,4.7,11.3,5,20.8,3,1.8,11,88.3,BrowAn04
10,Travis Kelce*+,KAN,29,TE,16,16,150,103,1336,10,68,767,7.4,569,5.5,9.2,7,14.7,7,4.7,3,110.3,KelcTr00
11,Stefon Diggs,MIN,25,WR,15,14,149,102,1021,9,49,573,5.6,448,4.4,8.6,4,25.5,3,2.0,2,102.2,DiggSt00
12,Keenan Allen*,LAC,26,WR,16,14,136,97,1196,6,62,793,8.2,403,4.2,8.6,3,32.3,4,2.9,2,106.7,AlleKe00
13,Saquon Barkley*,NYG,21,RB,16,16,121,91,721,4,30,-47,-0.5,768,8.4,0.1,13,7.0,4,3.3,1,97.2,BarkSa00
14,George Kittle*,SFO,25,TE,16,16,136,88,1377,5,60,507,5.8,870,9.9,7.1,9,9.8,5,3.7,3,101.3,KittGe00
15,Tyreek Hill*+,KAN,24,WR,16,16,137,87,1479,12,60,952,10.9,527,6.1,14.8,4,21.8,6,4.4,6,110.9,HillTy00
16,James White,NWE,26,,16,3,123,87,751,7,38,86,1.0,665,7.6,2.4,3,29.0,5,4.1,1,102.0,WhitJa02
17,Mike Evans*,TAM,25,WR,16,16,138,86,1524,8,68,1242,14.4,282,3.3,15.6,0,,7,5.1,8,95.2,EvanMi00
18,Robert Woods,LAR,26,WR,16,16,130,86,1219,6,66,799,9.3,420,4.9,11.4,2,43.0,2,1.5,3,102.1,WoodRo02
19,Alvin Kamara*,NOR,23,RB,15,13,105,81,709,4,31,67,0.8,642,7.9,1.8,7,11.6,3,2.9,1,103.2,KamaAl00
20,Jarvis Landry*,CLE,26,WR,16,14,149,81,976,4,44,702,8.7,274,3.4,11.0,3,27.0,11,7.4,2,78.0,LandJa00
21,Brandin Cooks,LAR,25,WR,16,16,117,80,1204,5,56,858,10.7,346,4.3,12.8,4,20.0,0,0.0,2,109.1,CookBr00
22,Odell Beckham Jr.,NYG,26,WR,12,12,124,77,1052,6,50,747,9.7,305,4.0,11.5,6,12.8,4,3.2,4,91.9,BeckOd00
23,Ezekiel Elliott*,DAL,23,RB,15,15,95,77,567,3,22,-9,-0.1,576,7.5,0.3,3,25.7,2,2.1,0,102.1,ElliEz00
24,Tyler Boyd,CIN,24,WR,14,14,108,76,1028,7,54,610,8.0,418,5.5,9.3,1,76.0,5,4.6,0,122.0,BoydTy00
25,T.Y. Hilton,IND,29,WR,14,14,120,76,1270,6,55,815,10.7,455,6.0,11.2,4,19.0,4,3.3,3,105.2,HiltT.00
26,Adam Humphries,TAM,25,WR,16,10,105,76,816,5,48,393,5.2,423,5.6,6.2,7,10.9,5,4.8,1,106.7,HumpAd00
27,Amari Cooper*,2TM,24,,15,15,107,75,1005,7,58,590,7.9,415,5.5,9.7,2,37.5,6,5.6,,121.4,CoopAm00
28,Julian Edelman,NWE,32,WR,12,12,108,74,850,6,41,502,6.8,348,4.7,7.7,4,18.5,8,7.4,2,102.8,EdelJu00
29,Golden Tate,2TM,30,,15,7,113,74,795,4,36,368,5.0,427,5.8,6.5,15,4.9,7,6.2,,97.8,TateGo00
30,Tarik Cohen*+,CHI,23,RB,16,7,91,71,725,5,29,205,2.9,520,7.3,3.6,9,7.9,1,1.1,2,109.0,CoheTa00
31,Austin Hooper*,ATL,24,te,16,7,88,71,660,4,30,423,6.0,237,3.3,6.9,4,17.8,4,4.5,1,108.3,HoopAu00
32,Emmanuel Sanders,DEN,31,WR,12,12,98,71,868,4,37,571,8.0,297,4.2,9.5,6,11.8,3,3.1,2,104.5,SandEm00
33,Kenny Golladay,DET,25,WR,15,13,119,70,1063,5,55,713,10.2,350,5.0,12.4,6,11.7,4,3.4,2,95.3,GollKe00
34,Larry Fitzgerald,ARI,35,WR,16,16,112,69,734,6,39,529,7.7,205,3.0,9.2,3,23.0,2,1.8,3,87.4,FitzLa00
35,Jared Cook*,OAK,31,TE,16,14,101,68,896,6,46,553,8.1,343,5.0,8.3,4,17.0,9,8.9,4,98.5,CookJa02
36,Jalen Richard,OAK,25,,16,1,81,68,607,0,23,112,1.6,495,7.3,1.7,3,22.7,3,3.7,0,97.9,RichJa01
37,Taylor Gabriel,CHI,27,WR,16,11,93,67,688,2,31,462,6.9,226,3.4,11.1,2,33.5,0,0.0,2,91.2,GabrTa00
38,Eric Ebron*,IND,25,TE,16,8,110,66,750,13,39,500,7.6,250,3.8,9.5,0,,9,8.2,2,112.3,EbroEr00
39,Mohamed Sanu,ATL,29,WR,16,16,94,66,838,4,40,437,6.6,401,6.1,8.0,4,16.5,3,3.2,0,111.9,SanuMo00
40,Sterling Shepard,NYG,25,WR,16,16,107,66,872,4,47,563,8.5,309,4.7,10.1,1,66.0,5,4.7,2,92.1,ShepSt00
41,Dede Westbrook,JAX,25,wr,16,9,101,66,717,5,40,355,5.4,362,5.5,8.0,5,13.2,6,5.9,3,90.2,WestDe00
42,Cole Beasley,DAL,29,,16,4,87,65,672,3,39,459,7.1,213,3.3,7.4,2,32.5,1,1.1,0,108.0,BeasCo00
43,Corey Davis,TEN,23,WR,16,16,112,65,891,4,47,624,9.6,267,4.1,10.3,5,13.0,6,5.4,1,91.8,DaviCo03
44,Alshon Jeffery,PHI,28,WR,13,13,92,65,843,6,48,571,8.8,272,4.2,11.0,3,21.7,3,3.3,1,116.3,JeffAl00
45,Nelson Agholor,PHI,25,WR,16,16,97,64,736,4,28,386,6.0,350,5.5,9.5,3,21.3,3,3.1,1,98.1,AghoNe00
46,Calvin Ridley,ATL,24,wr,16,5,92,64,821,10,39,457,7.1,364,5.7,10.2,0,,10,10.9,2,124.4,RidlCa00
47,Kyle Rudolph,MIN,29,TE,16,16,82,64,634,4,32,389,6.1,245,3.8,6.4,1,64.0,1,1.2,1,110.1,RudoKy00
48,Nyheim Hines,IND,22,,16,4,81,63,425,2,29,76,1.2,349,5.5,2.1,3,21.0,4,4.9,2,86.5,HineNy00
49,Jordy Nelson,OAK,33,WR,15,14,88,63,739,3,36,498,7.9,241,3.8,9.2,2,31.5,3,3.4,2,98.6,NelsJo00
50,Willie Snead,BAL,26,wr,16,10,95,62,651,1,37,369,6.0,282,4.5,8.1,9,6.9,5,5.3,3,75.4,SneaWi00
51,Theo Riddick,DET,27,,14,3,74,61,384,0,16,-22,-0.4,406,6.7,0.7,3,20.3,6,8.1,1,82.7,RiddTh00
52,Danny Amendola,MIA,33,WR,15,15,79,59,575,1,27,346,5.9,229,3.9,7.5,1,59.0,2,2.5,3,83.0,AmenDa00
53,Chris Godwin,TAM,22,wr,16,5,95,59,842,7,48,597,10.1,245,4.2,11.7,2,29.5,3,3.2,2,106.6,GodwCh00
54,Todd Gurley*+,LAR,24,RB,14,14,81,59,580,4,26,-7,-0.1,587,9.9,0.6,8,7.4,7,8.6,1,103.9,GurlTo01
55,Dion Lewis,TEN,28,rb,16,7,67,59,400,1,13,-77,-1.3,477,8.1,-1.1,8,7.4,2,3.0,1,90.3,LewiDi00
56,Demaryius Thomas,2TM,31,,15,15,89,59,677,5,36,400,6.8,277,4.7,10.2,2,29.5,6,6.7,,107.7,ThomDe03
57,Tyler Lockett,SEA,26,WR,16,14,70,57,965,10,37,752,13.2,213,3.7,13.6,0,,0,0.0,0,158.3,LockTy00
58,Zay Jones,BUF,23,WR,16,15,102,56,652,7,33,510,9.1,142,2.5,12.0,1,56.0,3,2.9,5,76.9,JoneZa00
59,David Njoku,CLE,22,TE,16,14,88,56,639,4,27,333,5.9,306,5.5,8.7,6,9.3,6,6.8,3,86.3,NjokDa00
60,James Conner*,PIT,23,RB,13,12,71,55,497,1,20,-51,-0.9,548,10.0,-0.3,5,11.0,4,5.6,0,100.5,ConnJa00
61,Jimmy Graham,GNB,32,TE,16,12,89,55,636,2,32,375,6.8,261,4.7,9.5,2,27.5,3,3.4,2,81.5,GrahJi00
62,D.J. Moore,CAR,21,WR,16,10,82,55,788,2,33,367,6.7,421,7.7,9.0,9,6.1,3,3.7,3,90.9,MoorD.00
63,Allen Robinson,CHI,25,WR,13,12,94,55,754,4,36,538,9.8,216,3.9,12.0,5,11.0,3,3.2,3,85.2,RobiAl02
64,T.J. Yeldon,JAX,25,rb,14,5,78,55,487,4,20,37,0.7,450,8.2,0.7,5,11.0,8,10.3,3,87.9,YeldT.00
65,Trey Burton,CHI,27,TE,16,16,76,54,569,6,29,379,7.0,190,3.5,8.2,1,54.0,3,3.9,2,107.8,BurtTr01
66,Michael Crabtree,BAL,31,WR,16,16,100,54,607,3,35,478,8.9,129,2.4,10.9,1,54.0,9,9.0,2,74.0,CrabMi00
67,Jordan Reed,WAS,28,TE,13,8,84,54,558,2,26,327,6.1,231,4.3,6.8,4,13.5,3,3.6,2,81.3,ReedJo02
68,Kenyan Drake,MIA,24,rb,16,7,73,53,477,5,23,54,1.0,423,8.0,2.2,2,26.5,6,8.2,0,112.6,DrakKe00
69,Chester Rogers,IND,24,WR,16,10,72,53,485,2,28,227,4.3,258,4.9,6.3,1,53.0,5,6.9,1,95.0,RogeCh02
70,Robby Anderson,NYJ,25,WR,14,9,94,50,752,6,30,567,11.3,185,3.7,15.7,1,50.0,2,2.1,4,83.3,AndeRo04
