Rnd,RPos,G,GS,Tgt,Rec,Yds,TD,Tgt/G * 17,Rec/G * 17,Y/G * 17,TD/G * 17
1.0,RB,14.0,12.0,58.0,43.0,344.0,2.0,65.0,48.0,388.0,2.0
1.0,TE,15.0,9.0,67.0,39.0,523.0,3.0,77.0,45.0,590.0,4.0
1.0,WR,12.0,9.0,73.0,44.0,595.0,3.0,96.0,57.0,754.0,4.0
2.0,RB,13.0,5.0,30.0,25.0,204.0,1.0,41.0,32.0,266.0,1.0
2.0,TE,15.0,7.0,39.0,28.0,274.0,3.0,43.0,30.0,301.0,3.0
2.0,WR,14.0,7.0,62.0,38.0,505.0,4.0,75.0,46.0,607.0,4.0
3.0,RB,12.0,4.0,26.0,21.0,174.0,1.0,34.0,26.0,232.0,1.0
3.0,TE,11.0,4.0,18.0,11.0,143.0,1.0,25.0,15.0,179.0,1.0
3.0,WR,14.0,5.0,39.0,24.0,313.0,2.0,47.0,28.0,373.0,2.0
4.0,RB,14.0,2.0,28.0,21.0,152.0,1.0,34.0,25.0,179.0,1.0
4.0,TE,13.0,5.0,21.0,14.0,158.0,1.0,30.0,21.0,238.0,2.0
4.0,WR,12.0,3.0,28.0,17.0,195.0,1.0,41.0,25.0,280.0,2.0
5.0,RB,12.0,2.0,18.0,13.0,100.0,0.0,22.0,15.0,122.0,1.0
5.0,TE,12.0,3.0,18.0,12.0,120.0,1.0,29.0,20.0,195.0,1.0
5.0,WR,13.0,3.0,40.0,24.0,296.0,2.0,47.0,28.0,351.0,3.0
6.0,RB,13.0,1.0,14.0,12.0,89.0,1.0,18.0,14.0,116.0,1.0
6.0,TE,13.0,4.0,16.0,12.0,107.0,1.0,24.0,17.0,159.0,1.0
6.0,WR,11.0,2.0,17.0,10.0,127.0,0.0,28.0,16.0,214.0,1.0
7.0,RB,9.0,1.0,7.0,5.0,39.0,0.0,15.0,11.0,79.0,0.0
7.0,TE,7.0,2.0,10.0,8.0,76.0,0.0,21.0,14.0,159.0,0.0
7.0,WR,9.0,1.0,16.0,10.0,99.0,1.0,33.0,19.0,192.0,2.0
8.0,RB,9.0,1.0,10.0,7.0,57.0,0.0,18.0,14.0,98.0,0.0
8.0,TE,9.0,2.0,7.0,4.0,49.0,0.0,14.0,9.0,101.0,1.0
8.0,WR,8.0,1.0,14.0,8.0,106.0,1.0,28.0,17.0,215.0,1.0
